N,P,K,Soil_pH,Soil_Moisture,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Altitude,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,Normalize_Rainfall_by_Windspeed,Soil_Type_Loamy,Soil_Type_Sandy,Soil_Type_Silt,Region_East,Region_North,Region_South,Region_West,Season_Rabi,Season_Zaid,Crop_Type_Maize,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Sugarcane,Crop_Type_Wheat,Irrigation_Type_Drip,Irrigation_Type_Rainfed,Irrigation_Type_Sprinkler,SOC_Binned_0.5,SOC_Binned_1.0,SOC_Binned_1.5,Soil_Moisture_Binned_20,Soil_Moisture_Binned_40,Soil_Moisture_Binned_60
146,76,74,7.25,60.82,1.59,18.84,81.11,2486.29,5.89,10.32,744,159.4,14.14,7.54,240.91957364341084,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
129,99,50,5.53,55.09,1.07,16.64,75.93,2228.76,8.45,16.4,267,147.2,6.43,8.02,135.90000000000003,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
133,51,85,5.18,22.01,1.28,33.92,56.89,1767.96,9.71,5.01,1474,85.79,18.41,7.09,352.8862275449102,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
160,20,120,7.35,17.33,0.78,20.94,83.69,1066.5,5.84,3.71,34,69.79,11.88,23.0,287.46630727762806,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
179,85,83,5.65,19.66,1.42,22.18,32.27,1395.15,8.38,9.2,1878,75.71,11.95,25.45,151.6467391304348,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
82,40,50,4.81,29.67,0.85,29.95,77.15,998.65,8.36,13.34,255,111.93,4.82,6.89,74.86131934032983,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
31,22,136,5.56,55.57,1.52,19.77,32.11,1378.81,10.43,17.52,1550,106.97,18.8,21.58,78.69920091324201,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
117,87,85,4.91,31.07,1.27,21.33,81.9,424.46,9.31,10.72,1582,287.75,21.63,8.81,39.595149253731336,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
67,18,66,5.65,24.28,1.22,33.94,40.61,564.12,9.68,13.33,1304,90.49,10.42,5.55,42.31957989497374,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
159,35,41,5.94,34.79,0.68,33.84,32.3,843.05,8.0,5.73,1132,282.08,5.22,8.71,147.1291448516579,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
50,45,113,5.72,21.2,1.33,28.14,48.53,2559.99,9.09,12.5,752,187.62,3.49,7.7,204.79919999999998,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
87,35,102,7.93,38.51,0.44,26.77,40.72,1463.51,5.71,5.12,130,338.35,3.1,9.21,285.841796875,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51,39,65,5.59,48.78,1.0,15.43,69.11,1501.43,8.06,9.42,1681,235.21,8.19,75.13,159.38747346072188,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
118,29,108,6.39,33.44,1.26,24.2,58.34,1621.79,8.64,1.79,1145,221.81,19.81,26.69,906.0279329608938,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
78,49,138,8.06,23.68,1.45,18.23,37.78,1550.47,9.84,6.5,1760,246.43,22.92,8.19,238.53384615384616,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
88,63,65,7.79,37.66,1.04,31.89,84.97,515.52,5.16,14.29,1585,203.21,20.04,24.9,36.07557732680196,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
44,57,20,5.85,53.12,0.64,28.84,52.07,1108.74,6.29,2.15,1601,225.57,9.48,73.6,515.693023255814,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
80,55,115,5.91,18.83,1.4,21.33,46.97,468.7,9.54,6.41,1703,264.76,15.87,24.25,73.1201248049922,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
137,51,80,6.82,18.55,1.3,26.05,71.88,474.07,7.04,3.9,2022,304.68,3.39,75.45,121.55641025641026,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
84,71,124,7.92,30.91,0.5,22.63,53.61,493.05,7.39,11.67,1022,327.35,18.9,10.23,42.24935732647815,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
93,56,100,4.83,35.75,1.43,14.39,38.73,2543.59,8.34,13.64,231,259.6,16.69,8.44,186.48020527859236,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
160,61,33,6.14,25.82,1.55,33.42,64.94,847.42,9.09,2.87,523,326.09,11.65,75.78,295.2682926829268,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
80,75,64,7.69,16.35,1.0,36.95,31.82,468.3,6.02,9.89,255,217.8,18.89,5.64,47.350859453993934,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
164,28,96,6.2,25.98,0.35,37.91,67.63,307.14,10.05,12.58,1412,128.45,17.69,73.16,24.414944356120827,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
50,82,85,7.25,36.77,1.49,33.68,82.05,1833.16,6.55,17.83,278,158.23,22.49,23.21,102.81323611890075,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
102,67,51,7.15,18.97,0.46,34.65,45.72,1842.44,5.83,4.7,2006,310.38,12.33,10.28,392.0085106382979,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,98,115,5.5,50.79,1.12,11.67,81.14,962.35,8.9,2.25,390,246.68,20.34,8.99,427.7111111111111,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
161,48,77,6.33,42.61,0.82,33.46,44.7,1000.17,6.52,5.38,1489,140.83,15.47,9.48,185.90520446096653,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
118,90,123,6.73,36.72,1.59,19.1,42.15,1145.48,7.54,10.53,1590,227.45,17.76,10.53,108.78252611585945,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
89,38,75,7.23,40.94,1.49,14.13,72.92,1185.24,6.31,11.76,1490,252.56,3.69,22.95,100.78571428571429,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
43,34,86,7.6,47.79,1.32,25.66,33.93,2242.51,9.97,7.44,2047,349.51,8.5,9.77,301.4126344086022,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
38,83,137,7.38,64.74,0.56,27.11,32.44,2649.01,7.5,8.38,1790,206.91,5.7,11.0,316.1109785202864,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
119,44,57,4.9,53.76,1.21,24.54,57.36,1770.52,4.46,10.31,925,321.39,2.99,75.51,171.72841901066926,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
82,21,131,7.08,42.02,1.04,29.58,32.05,1280.08,4.4,3.64,946,158.52,12.98,7.86,351.67032967032964,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
159,50,73,6.49,53.53,0.48,31.43,59.8,1036.98,6.55,17.35,109,245.11,3.72,11.45,59.76829971181556,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
113,52,53,6.75,38.76,1.33,14.11,68.97,2373.72,6.85,12.44,338,289.75,5.17,10.81,190.8135048231511,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
121,94,58,6.07,30.55,0.41,28.51,43.69,525.2,4.26,9.86,340,330.02,12.02,9.97,53.26572008113591,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
140,66,131,7.23,28.1,0.93,11.63,83.93,1382.97,9.97,13.44,648,199.87,14.38,9.27,102.89955357142858,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
37,29,107,7.09,34.97,0.85,23.46,42.02,1963.25,7.55,2.68,1117,307.98,6.23,28.05,732.5559701492537,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
64,60,67,6.77,15.11,1.35,13.0,44.25,926.39,7.83,14.37,630,212.02,3.29,23.79,64.4669450243563,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
110,37,68,7.73,23.85,0.86,23.49,84.78,636.41,8.56,4.28,2132,247.98,19.01,23.37,148.69392523364485,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
79,26,53,5.15,21.33,1.2,15.26,71.25,1929.48,5.52,2.36,1890,130.08,18.37,9.4,817.5762711864407,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
133,58,119,5.82,63.02,0.92,32.03,61.72,1798.85,7.66,16.04,1184,299.02,5.95,12.68,112.14775561097257,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
161,29,37,6.48,18.24,1.06,36.99,49.81,1848.23,5.56,12.94,720,340.82,18.26,9.86,142.83075734157651,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,63,89,8.06,40.05,0.61,15.09,76.14,2745.54,6.91,1.65,1634,285.67,5.59,10.07,1663.9636363636364,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
163,35,133,5.04,60.99,0.56,32.1,65.3,1107.5,8.39,16.84,1396,138.24,15.64,8.25,65.76603325415677,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
83,29,53,5.95,45.38,1.22,14.38,50.52,2764.55,5.65,17.97,528,81.3,17.55,9.93,153.84251530328328,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
135,28,70,7.95,39.76,0.46,23.01,79.56,417.14,10.19,11.52,1546,76.99,8.66,6.42,36.21006944444444,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,56,124,7.85,52.15,0.53,28.77,77.68,401.03,6.06,3.49,956,267.4,6.63,75.98,114.90830945558737,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
83,94,112,7.74,32.67,1.52,26.13,86.45,2446.63,6.13,9.77,1143,288.33,14.62,26.52,250.42272262026614,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
175,29,88,5.85,24.69,0.63,11.71,89.69,1104.92,10.45,12.52,760,253.03,0.94,8.04,88.25239616613419,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
73,77,108,7.68,57.36,0.72,20.88,30.69,1193.15,6.72,4.15,631,253.83,24.48,24.65,287.50602409638554,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
43,82,122,6.52,17.83,1.12,24.1,49.21,427.93,4.96,7.58,1542,326.5,1.37,10.82,56.45514511873351,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
124,41,102,6.91,55.39,0.87,21.74,41.56,305.94,6.99,2.85,1116,189.05,23.25,23.52,107.34736842105262,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
77,67,30,5.61,20.17,1.03,29.96,42.82,1882.29,6.37,10.87,1641,203.24,24.81,8.37,173.163753449862,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
44,66,55,7.2,46.28,0.49,36.65,81.89,1606.74,7.47,6.84,1597,130.99,3.08,5.58,234.90350877192984,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,77,101,5.91,38.85,1.17,30.03,88.5,2119.33,8.29,7.0,101,349.95,13.98,77.11,302.76142857142855,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
111,87,57,5.97,64.93,0.5,27.7,86.4,868.73,6.31,8.82,1811,333.85,17.22,8.94,98.49546485260771,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
140,67,108,6.97,34.4,1.27,14.47,71.79,2418.67,8.98,5.3,571,128.07,20.1,9.91,456.35283018867926,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
82,71,20,5.62,62.86,0.98,20.47,63.3,955.52,6.12,11.49,298,126.04,1.2,73.72,83.1610095735422,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
53,66,123,5.56,35.19,1.36,26.45,68.28,1419.78,9.87,12.42,1777,284.13,9.14,27.06,114.31400966183574,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
153,57,84,6.06,49.09,0.52,38.02,81.34,1220.4,10.73,5.27,52,113.85,5.45,74.59,231.57495256166987,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
70,21,20,7.45,47.18,0.79,19.14,30.42,2437.96,4.1,14.1,2018,118.53,22.18,8.88,172.9049645390071,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
44,56,144,5.56,19.32,1.4,20.14,55.7,2352.53,4.82,1.91,1389,308.0,24.3,76.42,1231.69109947644,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
74,18,79,7.48,52.17,1.34,27.69,60.39,1404.25,7.57,12.76,1346,232.29,16.17,8.46,110.05094043887148,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
94,83,44,7.17,25.43,1.56,36.99,85.41,1193.61,8.36,8.39,1768,141.17,15.6,4.93,142.2657926102503,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
118,19,110,7.11,34.42,0.59,26.3,40.32,2263.65,10.37,11.57,404,176.54,11.3,9.96,195.64822817631807,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
100,89,69,6.41,54.11,1.0,15.23,74.66,834.64,8.41,7.77,673,109.77,5.2,8.31,107.41827541827543,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
38,94,111,7.34,62.22,0.32,12.26,85.44,2652.35,10.05,7.42,2004,231.99,5.03,10.6,357.4595687331536,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
117,55,51,4.85,42.99,1.55,36.67,75.84,1094.92,7.66,3.44,867,105.2,10.7,4.98,318.29069767441865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
158,18,52,5.84,40.97,0.53,30.1,30.62,1458.46,8.83,13.12,1602,152.58,3.58,22.96,111.16310975609757,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
165,16,45,7.11,40.25,1.48,16.62,69.57,2320.76,10.46,6.1,1315,341.01,9.39,13.21,380.4524590163935,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
92,81,61,8.16,55.83,1.18,31.74,42.57,2287.88,8.74,8.32,362,224.74,17.19,11.97,274.9855769230769,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
168,35,80,4.81,64.66,1.52,31.59,66.31,2032.83,7.38,13.89,1261,160.76,22.09,7.78,146.35205183585313,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
110,84,60,6.53,46.68,0.62,33.16,64.27,589.52,8.15,4.91,1185,328.4,13.84,10.39,120.06517311608961,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
165,57,149,7.94,33.93,0.75,36.77,87.42,905.44,7.01,8.66,1413,167.27,13.46,6.72,104.55427251732102,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
62,96,118,7.74,25.93,0.51,14.56,41.42,2083.86,5.05,6.43,938,270.29,4.82,9.26,324.08398133748057,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
152,83,117,4.88,24.94,0.85,38.7,33.03,2448.51,9.39,13.16,1838,155.43,20.22,7.16,186.05699088145897,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
34,23,50,6.6,57.81,1.53,39.96,66.68,720.52,6.9,17.36,1922,147.89,14.66,9.84,41.504608294930875,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
70,98,134,4.81,64.62,1.04,10.43,50.64,2772.95,4.66,17.16,2178,197.29,23.91,9.13,161.59382284382284,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
57,42,67,7.48,49.9,0.84,12.74,75.01,1853.02,8.93,9.45,1187,221.51,16.22,74.67,196.0867724867725,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
164,40,21,5.85,62.79,0.72,23.02,89.59,2353.06,9.35,3.87,338,184.6,14.89,76.56,608.0258397932816,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
101,96,120,7.4,32.5,1.06,11.03,54.08,2263.79,4.74,17.42,1231,301.42,7.28,9.49,129.95350172215842,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41,97,147,8.01,46.38,1.24,32.05,39.11,568.07,7.19,16.15,128,260.77,15.13,24.82,35.174613003095985,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
62,17,78,8.12,40.58,0.83,29.52,63.25,1156.57,7.37,3.69,327,339.02,16.66,7.71,313.43360433604335,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
77,87,139,7.84,39.1,0.6,33.28,50.77,1446.04,5.64,5.65,988,171.07,7.26,24.3,255.9362831858407,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
91,63,57,5.49,46.62,1.06,39.95,77.68,950.16,9.59,2.89,1323,216.97,1.48,7.9,328.7750865051903,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
66,31,126,5.46,30.52,0.78,38.0,62.06,2005.98,7.72,17.25,118,311.39,17.14,11.08,116.28869565217391,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
128,77,40,6.93,47.03,1.59,19.0,84.49,1703.6,8.01,2.2,2186,139.5,12.49,24.44,774.3636363636363,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
133,69,61,6.65,48.64,0.87,21.89,80.29,2752.35,6.51,7.7,508,277.19,9.76,79.11,357.44805194805195,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
64,37,29,4.83,56.81,0.86,33.28,84.85,756.79,5.72,15.25,487,231.42,17.94,72.4,49.6255737704918,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
130,48,52,6.13,51.52,1.39,21.64,47.94,1702.9,9.62,10.23,881,231.63,18.41,76.07,166.4613880742913,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
160,83,88,7.88,30.99,0.63,30.96,84.17,2550.33,7.73,9.78,51,136.05,8.1,75.77,260.76993865030676,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
30,29,99,7.85,37.54,0.39,37.56,81.99,398.92,5.69,7.51,31,138.28,1.45,25.16,53.118508655126504,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
34,61,120,5.49,21.02,1.41,22.18,67.62,1544.25,6.98,1.15,750,330.15,5.15,8.8,1342.8260869565217,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
171,17,48,6.1,27.86,1.07,26.82,84.63,832.5,7.89,3.54,840,71.8,23.06,7.08,235.16949152542372,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
132,97,72,6.71,41.05,0.64,35.24,33.25,2695.6,7.89,10.82,1021,217.98,7.35,12.76,249.13123844731976,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
56,42,143,7.7,20.04,0.75,24.33,77.14,1963.52,7.9,14.64,515,260.21,3.79,8.39,134.12021857923497,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
166,17,61,6.61,43.53,0.85,18.67,38.73,982.33,5.18,12.0,820,112.55,21.82,8.8,81.86083333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
44,18,66,8.09,34.51,1.18,17.75,50.45,2774.6,7.88,13.92,1716,214.5,0.97,8.92,199.32471264367817,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
119,45,30,7.52,16.74,0.91,12.16,73.78,845.69,6.42,4.51,596,321.98,20.19,7.45,187.51441241685146,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
71,59,102,8.04,36.72,0.81,19.91,42.58,1127.52,7.97,10.56,189,294.99,19.36,74.92,106.77272727272727,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
153,73,128,7.29,29.06,1.31,30.58,43.87,1987.88,8.67,7.31,393,315.46,14.16,27.89,271.93980848153217,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
92,59,46,7.78,18.35,0.39,11.77,42.72,1718.76,5.61,6.68,2112,180.68,15.91,6.14,257.2994011976048,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,89,81,7.63,29.67,1.15,18.23,57.37,2361.2,4.84,8.22,1549,238.87,4.13,9.99,287.25060827250604,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
81,51,122,5.66,29.7,0.88,13.35,34.86,1973.26,8.23,15.81,107,113.86,14.16,74.61,124.81087919038583,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
125,79,63,5.58,32.75,0.74,22.13,83.19,1745.45,8.85,16.05,980,310.63,13.58,8.94,108.75077881619937,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
161,23,112,7.74,33.32,1.51,12.8,73.78,1138.8,10.06,14.4,260,104.04,4.47,22.17,79.08333333333333,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
172,31,49,5.09,36.49,1.31,32.38,60.81,1039.57,5.72,7.39,1713,95.01,18.55,7.91,140.6725304465494,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
58,79,138,6.19,19.6,0.59,37.84,35.05,544.9,4.87,1.41,2023,296.3,0.91,25.37,386.45390070921985,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,17,48,7.59,15.26,1.15,15.77,37.46,1307.37,10.81,7.24,463,163.81,8.88,72.39,180.5759668508287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
42,40,49,7.57,51.8,1.37,17.52,35.91,2272.91,4.28,15.03,318,273.62,16.27,9.33,151.22488356620093,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
100,67,123,5.27,31.87,1.59,14.8,30.88,1011.27,6.91,2.67,1094,342.29,20.0,9.5,378.75280898876406,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
