N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare
43,34,86,7.6,47.79,Sandy,1.32,25.66,33.93,2242.51,9.97,7.44,East,2047,Rabi,Wheat,Drip,349.51,8.5,9.77
38,83,137,7.38,64.74,Sandy,0.56,27.11,32.44,2649.01,7.5,8.38,West,1790,Rabi,Maize,Rainfed,206.91,5.7,11.0
119,44,57,4.9,53.76,Clay,1.21,24.54,57.36,1770.52,4.46,10.31,East,925,Kharif,Sugarcane,Sprinkler,321.39,2.99,75.51
82,21,131,7.08,42.02,Sandy,1.04,29.58,32.05,1280.08,4.4,3.64,West,946,Zaid,Rice,Canal,158.52,12.98,7.86
159,50,73,6.49,53.53,Silt,0.48,31.43,59.8,1036.98,6.55,17.35,East,109,Kharif,Wheat,Drip,245.11,3.72,11.45
113,52,53,6.75,38.76,Loamy,1.33,14.11,68.97,2373.72,6.85,12.44,North,338,Kharif,Rice,Sprinkler,289.75,5.17,10.81
121,94,58,6.07,30.55,Sandy,0.41,28.51,43.69,525.2,4.26,9.86,East,340,Rabi,Rice,Rainfed,330.02,12.02,9.97
140,66,131,7.23,28.1,Silt,0.93,11.63,83.93,1382.97,9.97,13.44,North,648,Rabi,Rice,Canal,199.87,14.38,9.27
37,29,107,7.09,34.97,Sandy,0.85,23.46,42.02,1963.25,7.55,2.68,West,1117,Zaid,Potato,Sprinkler,307.98,6.23,28.05
64,60,67,6.77,15.11,Sandy,1.35,13.0,44.25,926.39,7.83,14.37,North,630,Zaid,Potato,Drip,212.02,3.29,23.79
110,37,68,7.73,23.85,Sandy,0.86,23.49,84.78,636.41,8.56,4.28,West,2132,Rabi,Potato,Drip,247.98,19.01,23.37
79,26,53,5.15,21.33,Clay,1.2,15.26,71.25,1929.48,5.52,2.36,South,1890,Kharif,Maize,Canal,130.08,18.37,9.4
133,58,119,5.82,63.02,Loamy,0.92,32.03,61.72,1798.85,7.66,16.04,South,1184,Kharif,Rice,Rainfed,299.02,5.95,12.68
161,29,37,6.48,18.24,Loamy,1.06,36.99,49.81,1848.23,5.56,12.94,West,720,Kharif,Cotton,Canal,340.82,18.26,9.86
31,63,89,8.06,40.05,Loamy,0.61,15.09,76.14,2745.54,6.91,1.65,East,1634,Kharif,Rice,Rainfed,285.67,5.59,10.07
163,35,133,5.04,60.99,Clay,0.56,32.1,65.3,1107.5,8.39,16.84,North,1396,Rabi,Wheat,Sprinkler,138.24,15.64,8.25
83,29,53,5.95,45.38,Sandy,1.22,14.38,50.52,2764.55,5.65,17.97,Central,528,Kharif,Maize,Rainfed,81.3,17.55,9.93
135,28,70,7.95,39.76,Loamy,0.46,23.01,79.56,417.14,10.19,11.52,East,1546,Kharif,Maize,Canal,76.99,8.66,6.42
33,56,124,7.85,52.15,Loamy,0.53,28.77,77.68,401.03,6.06,3.49,North,956,Rabi,Sugarcane,Sprinkler,267.4,6.63,75.98
83,94,112,7.74,32.67,Sandy,1.52,26.13,86.45,2446.63,6.13,9.77,West,1143,Rabi,Potato,Sprinkler,288.33,14.62,26.52
175,29,88,5.85,24.69,Loamy,0.63,11.71,89.69,1104.92,10.45,12.52,West,760,Zaid,Rice,Sprinkler,253.03,0.94,8.04
73,77,108,7.68,57.36,Sandy,0.72,20.88,30.69,1193.15,6.72,4.15,West,631,Zaid,Potato,Rainfed,253.83,24.48,24.65
43,82,122,6.52,17.83,Clay,1.12,24.1,49.21,427.93,4.96,7.58,East,1542,Zaid,Maize,Rainfed,326.5,1.37,10.82
124,41,102,6.91,55.39,Loamy,0.87,21.74,41.56,305.94,6.99,2.85,East,1116,Zaid,Potato,Sprinkler,189.05,23.25,23.52
77,67,30,5.61,20.17,Loamy,1.03,29.96,42.82,1882.29,6.37,10.87,North,1641,Rabi,Maize,Canal,203.24,24.81,8.37
44,66,55,7.2,46.28,Sandy,0.49,36.65,81.89,1606.74,7.47,6.84,South,1597,Zaid,Cotton,Drip,130.99,3.08,5.58
69,77,101,5.91,38.85,Silt,1.17,30.03,88.5,2119.33,8.29,7.0,West,101,Rabi,Sugarcane,Drip,349.95,13.98,77.11
111,87,57,5.97,64.93,Clay,0.5,27.7,86.4,868.73,6.31,8.82,East,1811,Rabi,Wheat,Sprinkler,333.85,17.22,8.94
140,67,108,6.97,34.4,Loamy,1.27,14.47,71.79,2418.67,8.98,5.3,Central,571,Rabi,Wheat,Drip,128.07,20.1,9.91
82,71,20,5.62,62.86,Sandy,0.98,20.47,63.3,955.52,6.12,11.49,South,298,Zaid,Sugarcane,Rainfed,126.04,1.2,73.72
53,66,123,5.56,35.19,Clay,1.36,26.45,68.28,1419.78,9.87,12.42,North,1777,Zaid,Potato,Canal,284.13,9.14,27.06
153,57,84,6.06,49.09,Sandy,0.52,38.02,81.34,1220.4,10.73,5.27,West,52,Kharif,Sugarcane,Drip,113.85,5.45,74.59
70,21,20,7.45,47.18,Silt,0.79,19.14,30.42,2437.96,4.1,14.1,South,2018,Kharif,Wheat,Sprinkler,118.53,22.18,8.88
44,56,144,5.56,19.32,Loamy,1.4,20.14,55.7,2352.53,4.82,1.91,Central,1389,Zaid,Sugarcane,Sprinkler,308.0,24.3,76.42
74,18,79,7.48,52.17,Silt,1.34,27.69,60.39,1404.25,7.57,12.76,East,1346,Kharif,Cotton,Rainfed,232.29,16.17,8.46
94,83,44,7.17,25.43,Loamy,1.56,36.99,85.41,1193.61,8.36,8.39,South,1768,Zaid,Cotton,Sprinkler,141.17,15.6,4.93
118,19,110,7.11,34.42,Silt,0.59,26.3,40.32,2263.65,10.37,11.57,East,404,Zaid,Wheat,Sprinkler,176.54,11.3,9.96
100,89,69,6.41,54.11,Loamy,1.0,15.23,74.66,834.64,8.41,7.77,East,673,Zaid,Rice,Sprinkler,109.77,5.2,8.31
38,94,111,7.34,62.22,Sandy,0.32,12.26,85.44,2652.35,10.05,7.42,East,2004,Rabi,Rice,Rainfed,231.99,5.03,10.6
117,55,51,4.85,42.99,Clay,1.55,36.67,75.84,1094.92,7.66,3.44,East,867,Kharif,Cotton,Canal,105.2,10.7,4.98
158,18,52,5.84,40.97,Loamy,0.53,30.1,30.62,1458.46,8.83,13.12,Central,1602,Zaid,Potato,Rainfed,152.58,3.58,22.96
165,16,45,7.11,40.25,Loamy,1.48,16.62,69.57,2320.76,10.46,6.1,East,1315,Zaid,Maize,Rainfed,341.01,9.39,13.21
92,81,61,8.16,55.83,Sandy,1.18,31.74,42.57,2287.88,8.74,8.32,West,362,Kharif,Maize,Rainfed,224.74,17.19,11.97
168,35,80,4.81,64.66,Silt,1.52,31.59,66.31,2032.83,7.38,13.89,Central,1261,Zaid,Wheat,Rainfed,160.76,22.09,7.78
110,84,60,6.53,46.68,Loamy,0.62,33.16,64.27,589.52,8.15,4.91,Central,1185,Rabi,Rice,Drip,328.4,13.84,10.39
165,57,149,7.94,33.93,Silt,0.75,36.77,87.42,905.44,7.01,8.66,North,1413,Zaid,Wheat,Drip,167.27,13.46,6.72
62,96,118,7.74,25.93,Sandy,0.51,14.56,41.42,2083.86,5.05,6.43,East,938,Zaid,Rice,Canal,270.29,4.82,9.26
152,83,117,4.88,24.94,Loamy,0.85,38.7,33.03,2448.51,9.39,13.16,South,1838,Kharif,Cotton,Rainfed,155.43,20.22,7.16
34,23,50,6.6,57.81,Clay,1.53,39.96,66.68,720.52,6.9,17.36,Central,1922,Rabi,Maize,Canal,147.89,14.66,9.84
70,98,134,4.81,64.62,Loamy,1.04,10.43,50.64,2772.95,4.66,17.16,North,2178,Rabi,Rice,Rainfed,197.29,23.91,9.13
57,42,67,7.48,49.9,Sandy,0.84,12.74,75.01,1853.02,8.93,9.45,South,1187,Kharif,Sugarcane,Canal,221.51,16.22,74.67
164,40,21,5.85,62.79,Silt,0.72,23.02,89.59,2353.06,9.35,3.87,South,338,Kharif,Sugarcane,Canal,184.6,14.89,76.56
101,96,120,7.4,32.5,Loamy,1.06,11.03,54.08,2263.79,4.74,17.42,Central,1231,Zaid,Cotton,Canal,301.42,7.28,9.49
41,97,147,8.01,46.38,Sandy,1.24,32.05,39.11,568.07,7.19,16.15,South,128,Kharif,Potato,Rainfed,260.77,15.13,24.82
62,17,78,8.12,40.58,Sandy,0.83,29.52,63.25,1156.57,7.37,3.69,East,327,Kharif,Wheat,Rainfed,339.02,16.66,7.71
77,87,139,7.84,39.1,Sandy,0.6,33.28,50.77,1446.04,5.64,5.65,East,988,Kharif,Potato,Canal,171.07,7.26,24.3
91,63,57,5.49,46.62,Silt,1.06,39.95,77.68,950.16,9.59,2.89,South,1323,Rabi,Wheat,Canal,216.97,1.48,7.9
66,31,126,5.46,30.52,Silt,0.78,38.0,62.06,2005.98,7.72,17.25,East,118,Zaid,Maize,Sprinkler,311.39,17.14,11.08
128,77,40,6.93,47.03,Clay,1.59,19.0,84.49,1703.6,8.01,2.2,East,2186,Zaid,Potato,Canal,139.5,12.49,24.44
133,69,61,6.65,48.64,Clay,0.87,21.89,80.29,2752.35,6.51,7.7,Central,508,Zaid,Sugarcane,Rainfed,277.19,9.76,79.11
64,37,29,4.83,56.81,Loamy,0.86,33.28,84.85,756.79,5.72,15.25,North,487,Kharif,Sugarcane,Drip,231.42,17.94,72.4
130,48,52,6.13,51.52,Sandy,1.39,21.64,47.94,1702.9,9.62,10.23,South,881,Rabi,Sugarcane,Canal,231.63,18.41,76.07
160,83,88,7.88,30.99,Clay,0.63,30.96,84.17,2550.33,7.73,9.78,East,51,Zaid,Sugarcane,Drip,136.05,8.1,75.77
30,29,99,7.85,37.54,Silt,0.39,37.56,81.99,398.92,5.69,7.51,West,31,Rabi,Potato,Rainfed,138.28,1.45,25.16
34,61,120,5.49,21.02,Sandy,1.41,22.18,67.62,1544.25,6.98,1.15,North,750,Rabi,Rice,Drip,330.15,5.15,8.8
171,17,48,6.1,27.86,Loamy,1.07,26.82,84.63,832.5,7.89,3.54,West,840,Zaid,Wheat,Drip,71.8,23.06,7.08
132,97,72,6.71,41.05,Sandy,0.64,35.24,33.25,2695.6,7.89,10.82,South,1021,Rabi,Wheat,Drip,217.98,7.35,12.76
56,42,143,7.7,20.04,Clay,0.75,24.33,77.14,1963.52,7.9,14.64,Central,515,Rabi,Maize,Canal,260.21,3.79,8.39
166,17,61,6.61,43.53,Clay,0.85,18.67,38.73,982.33,5.18,12.0,Central,820,Zaid,Rice,Sprinkler,112.55,21.82,8.8
44,18,66,8.09,34.51,Sandy,1.18,17.75,50.45,2774.6,7.88,13.92,North,1716,Kharif,Rice,Rainfed,214.5,0.97,8.92
119,45,30,7.52,16.74,Silt,0.91,12.16,73.78,845.69,6.42,4.51,South,596,Zaid,Rice,Drip,321.98,20.19,7.45
71,59,102,8.04,36.72,Sandy,0.81,19.91,42.58,1127.52,7.97,10.56,East,189,Kharif,Sugarcane,Rainfed,294.99,19.36,74.92
153,73,128,7.29,29.06,Sandy,1.31,30.58,43.87,1987.88,8.67,7.31,South,393,Kharif,Potato,Rainfed,315.46,14.16,27.89
92,59,46,7.78,18.35,Sandy,0.39,11.77,42.72,1718.76,5.61,6.68,Central,2112,Kharif,Wheat,Canal,180.68,15.91,6.14
125,89,81,7.63,29.67,Sandy,1.15,18.23,57.37,2361.2,4.84,8.22,West,1549,Zaid,Rice,Canal,238.87,4.13,9.99
81,51,122,5.66,29.7,Sandy,0.88,13.35,34.86,1973.26,8.23,15.81,East,107,Rabi,Sugarcane,Canal,113.86,14.16,74.61
125,79,63,5.58,32.75,Silt,0.74,22.13,83.19,1745.45,8.85,16.05,West,980,Zaid,Cotton,Drip,310.63,13.58,8.94
161,23,112,7.74,33.32,Loamy,1.51,12.8,73.78,1138.8,10.06,14.4,West,260,Zaid,Potato,Sprinkler,104.04,4.47,22.17
172,31,49,5.09,36.49,Loamy,1.31,32.38,60.81,1039.57,5.72,7.39,West,1713,Rabi,Maize,Rainfed,95.01,18.55,7.91
58,79,138,6.19,19.6,Clay,0.59,37.84,35.05,544.9,4.87,1.41,East,2023,Rabi,Potato,Canal,296.3,0.91,25.37
65,17,48,7.59,15.26,Silt,1.15,15.77,37.46,1307.37,10.81,7.24,Central,463,Zaid,Sugarcane,Sprinkler,163.81,8.88,72.39
42,40,49,7.57,51.8,Sandy,1.37,17.52,35.91,2272.91,4.28,15.03,Central,318,Kharif,Cotton,Rainfed,273.62,16.27,9.33
100,67,123,5.27,31.87,Silt,1.59,14.8,30.88,1011.27,6.91,2.67,North,1094,Rabi,Cotton,Drip,342.29,20.0,9.5
115,45,129,6.46,45.68,Loamy,1.21,15.62,70.03,2502.81,7.45,12.36,West,315,Kharif,Potato,Sprinkler,159.15,14.18,26.93
57,40,51,6.43,30.35,Sandy,1.2,19.35,60.61,2303.39,8.98,15.6,West,1829,Kharif,Cotton,Sprinkler,334.51,22.99,7.67
95,37,70,5.9,64.21,Silt,1.1,18.44,52.92,2794.08,9.68,8.95,North,231,Kharif,Potato,Rainfed,135.69,9.18,26.01
74,44,55,7.92,30.77,Clay,0.35,21.56,50.85,2114.5,7.9,1.72,East,219,Zaid,Rice,Canal,284.53,24.14,11.18
91,24,74,7.02,45.25,Loamy,1.06,25.75,57.68,423.08,4.2,9.55,North,819,Rabi,Rice,Rainfed,221.05,5.76,8.57
163,86,55,8.13,26.0,Sandy,1.35,31.83,58.5,1783.55,10.99,12.77,South,2121,Rabi,Rice,Sprinkler,284.46,12.02,7.77
57,78,75,5.03,40.89,Sandy,0.81,36.53,38.34,1054.44,8.48,12.16,East,1403,Kharif,Potato,Canal,129.81,22.94,22.82
57,36,55,6.14,43.97,Sandy,1.06,23.78,61.89,2671.32,9.82,9.7,South,1725,Rabi,Maize,Rainfed,286.98,13.75,11.62
137,29,108,7.64,24.14,Sandy,1.5,37.27,32.88,2080.17,6.9,11.25,South,866,Zaid,Maize,Sprinkler,269.46,16.01,9.74
73,70,81,6.24,21.18,Sandy,0.52,30.39,86.32,2256.89,4.37,5.7,West,2124,Kharif,Maize,Canal,90.3,22.99,9.58
113,88,128,5.69,63.68,Sandy,0.66,31.87,72.85,1703.38,4.58,4.61,East,1424,Kharif,Rice,Drip,240.33,23.59,12.26
59,34,106,8.19,59.66,Silt,0.44,25.67,30.57,2717.44,9.4,16.07,North,562,Rabi,Cotton,Drip,171.66,5.55,7.23
104,61,83,7.77,48.0,Clay,0.95,25.7,47.33,726.59,5.49,5.91,Central,2122,Zaid,Cotton,Drip,313.31,19.81,7.24
157,67,76,6.66,58.05,Silt,1.39,25.96,88.96,1273.23,9.99,12.77,West,1525,Kharif,Sugarcane,Drip,156.84,23.93,75.33
121,67,132,6.71,19.78,Silt,0.87,24.76,32.91,1550.12,5.77,4.13,Central,530,Zaid,Sugarcane,Drip,266.12,0.95,76.18
158,15,89,4.82,51.47,Sandy,0.39,23.77,38.8,1683.49,5.81,8.31,West,319,Zaid,Wheat,Rainfed,232.14,12.56,8.62
150,16,39,8.14,29.28,Sandy,0.64,33.24,58.63,2240.92,4.69,3.41,South,1692,Rabi,Maize,Rainfed,239.28,21.07,9.51
56,72,73,7.54,41.97,Silt,1.46,21.63,51.21,2121.27,4.98,6.01,Central,283,Zaid,Maize,Drip,99.94,10.49,10.51
150,33,20,4.92,53.24,Loamy,1.02,16.2,89.11,436.86,4.89,4.05,East,1796,Zaid,Wheat,Drip,129.15,12.23,7.25
145,76,109,5.4,16.67,Sandy,1.49,14.07,62.38,2109.34,4.3,17.25,East,1061,Zaid,Wheat,Sprinkler,247.53,23.89,7.9
32,92,132,7.59,49.74,Sandy,1.38,36.39,86.47,955.86,5.66,1.27,East,855,Zaid,Potato,Sprinkler,70.26,17.09,22.43
132,86,32,5.1,36.74,Loamy,0.84,35.89,52.61,1340.22,4.16,6.91,East,116,Rabi,Wheat,Drip,320.33,15.48,8.89
166,26,129,8.0,36.98,Silt,1.12,17.31,46.33,1425.46,8.92,11.7,West,26,Zaid,Potato,Rainfed,268.49,19.47,24.64
91,40,110,8.2,60.36,Loamy,1.16,13.55,47.31,2033.93,8.31,15.93,East,1385,Kharif,Sugarcane,Sprinkler,82.03,19.82,73.06
80,41,114,7.81,57.99,Sandy,1.27,38.81,68.2,2003.27,5.21,17.94,Central,1681,Kharif,Wheat,Rainfed,229.61,19.43,9.71
88,43,62,7.31,17.88,Clay,0.73,24.46,66.24,1246.21,10.04,11.35,South,1885,Rabi,Sugarcane,Drip,348.62,5.93,74.43
147,29,93,6.46,45.92,Loamy,0.68,12.8,63.22,2333.09,6.0,16.61,Central,928,Zaid,Rice,Drip,85.49,0.11,9.01
125,60,33,5.08,36.79,Loamy,1.19,16.46,41.34,603.71,7.75,17.12,North,560,Zaid,Potato,Canal,66.71,13.96,21.79
142,15,118,7.28,20.89,Sandy,1.36,31.11,45.81,881.8,9.68,10.13,North,108,Zaid,Potato,Drip,164.09,1.13,22.89
91,74,128,6.15,57.55,Loamy,0.84,12.44,47.35,1361.74,6.58,2.97,East,1900,Rabi,Potato,Sprinkler,196.81,0.04,26.94
81,71,115,6.74,18.58,Sandy,0.72,22.99,81.97,847.13,5.76,9.53,East,785,Rabi,Sugarcane,Sprinkler,221.81,24.89,74.83
41,17,77,5.8,16.6,Clay,1.37,22.83,79.04,2618.96,10.02,9.23,East,1957,Zaid,Sugarcane,Rainfed,191.63,14.51,75.41
68,32,115,5.62,24.88,Clay,1.19,30.57,42.3,2619.5,4.52,10.32,North,571,Rabi,Sugarcane,Rainfed,247.88,17.26,77.75
159,66,57,5.9,30.17,Silt,0.75,15.98,38.79,726.52,8.55,6.99,Central,1615,Rabi,Wheat,Drip,285.25,24.72,8.77
160,74,83,7.57,18.04,Sandy,0.99,39.51,36.13,1333.1,9.87,12.37,East,2075,Zaid,Potato,Drip,77.54,10.26,23.31
142,48,28,6.25,47.07,Clay,1.55,14.66,34.06,2780.0,8.97,8.9,West,924,Zaid,Rice,Sprinkler,181.88,22.1,10.13
130,74,140,5.86,36.86,Sandy,1.27,27.95,89.08,348.55,6.62,10.71,North,1897,Zaid,Wheat,Rainfed,102.49,18.14,7.58
142,40,51,6.27,35.61,Loamy,0.59,19.84,78.68,408.23,10.66,6.13,Central,1026,Kharif,Rice,Sprinkler,248.98,7.92,9.8
110,86,30,4.91,22.27,Loamy,0.68,13.99,31.02,2407.32,4.95,8.48,North,2166,Rabi,Maize,Sprinkler,254.87,2.11,11.15
142,33,124,7.83,36.89,Sandy,0.64,26.17,30.4,1255.44,8.98,13.13,West,1990,Kharif,Wheat,Canal,296.35,15.85,9.06
31,36,101,6.68,34.51,Sandy,1.4,15.09,71.4,2126.87,9.03,2.82,West,514,Kharif,Potato,Canal,307.31,24.48,26.73
159,47,56,5.16,34.18,Loamy,1.13,30.4,48.68,1845.52,8.29,14.62,Central,1863,Kharif,Rice,Sprinkler,348.96,13.86,10.66
83,52,101,5.78,25.93,Sandy,1.52,10.97,35.94,2035.8,7.4,8.19,South,1438,Zaid,Cotton,Rainfed,79.76,23.87,6.7
116,49,31,8.14,19.72,Loamy,0.42,25.31,57.84,793.49,10.67,17.58,East,90,Zaid,Cotton,Canal,307.25,1.98,8.65
158,81,23,6.82,28.04,Silt,0.37,16.57,31.13,1667.73,7.26,10.03,West,47,Zaid,Wheat,Rainfed,330.39,23.38,10.44
176,97,62,5.79,48.36,Silt,1.18,38.5,55.49,1915.79,6.33,1.97,South,1792,Zaid,Wheat,Sprinkler,332.51,23.46,11.85
155,24,70,6.25,18.65,Silt,0.65,31.32,44.25,1680.41,7.6,9.69,East,464,Zaid,Wheat,Canal,70.56,9.89,8.38
159,29,24,5.68,34.12,Sandy,1.18,32.66,45.89,2661.73,9.61,10.0,South,351,Rabi,Maize,Sprinkler,251.18,2.49,9.24
82,25,106,4.91,40.72,Loamy,1.24,31.16,47.17,340.72,5.14,12.33,West,759,Rabi,Sugarcane,Drip,309.74,24.12,73.9
97,38,125,7.66,63.16,Clay,0.7,29.98,48.46,836.73,6.59,3.8,Central,1783,Rabi,Cotton,Rainfed,114.5,21.94,6.26
152,91,75,5.79,57.19,Clay,1.54,14.14,31.2,484.07,7.96,9.1,West,1188,Rabi,Sugarcane,Sprinkler,227.1,23.98,75.04
174,18,129,7.65,60.83,Loamy,1.31,39.92,64.21,2708.64,9.9,7.58,West,596,Rabi,Maize,Drip,193.87,7.1,12.33
67,27,87,6.43,56.0,Loamy,0.78,29.72,62.87,884.93,6.8,16.6,East,1492,Rabi,Potato,Sprinkler,113.19,7.85,24.56
53,87,115,5.42,44.46,Loamy,0.84,36.92,69.05,2150.8,7.85,6.03,North,1988,Zaid,Potato,Canal,173.54,12.44,25.17
98,71,63,7.53,58.04,Loamy,1.23,25.11,39.59,664.15,4.86,1.31,Central,1889,Rabi,Wheat,Canal,147.49,14.57,9.74
145,51,109,6.08,43.26,Loamy,0.7,18.58,89.69,430.46,4.66,9.45,East,1079,Kharif,Rice,Rainfed,306.41,14.66,11.08
127,62,61,7.21,32.89,Clay,0.68,23.12,38.15,777.46,5.49,17.37,West,1864,Rabi,Potato,Rainfed,272.65,5.29,24.31
168,85,92,7.65,33.62,Silt,1.11,21.97,78.69,990.5,8.8,11.92,Central,1909,Zaid,Wheat,Drip,61.92,0.72,5.14
173,15,30,8.07,43.27,Loamy,0.48,10.48,43.22,1445.69,5.48,11.21,North,930,Zaid,Cotton,Rainfed,221.52,23.09,6.81
